epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4002.26,1.27844,1.97693,1.43919,0.00327,0.01111,0.01324,0.00768,1.24952,2.23977,1.31973,0.000468525,0.000468525,0.000468525
2,5739.5,1.40788,1.42626,1.49485,0.39463,0.27778,0.29421,0.14082,2.21997,1.7445,1.94349,0.00092615,0.00092615,0.00092615
3,7172.72,1.42961,1.43808,1.51437,0.59725,0.45792,0.48427,0.19897,1.77279,1.90702,1.63649,0.00136491,0.00136491,0.00136491
4,8461.98,1.42135,1.39765,1.51616,0.86142,0.18744,0.23845,0.13672,1.67819,2.80562,1.72003,0.00134412,0.00134412,0.00134412
5,9722.91,1.38404,1.33109,1.47827,0.95623,0.29409,0.37208,0.21114,1.49284,1.36765,1.47782,0.00131582,0.00131582,0.00131582
6,10937.2,1.36828,1.29365,1.47471,0.56648,0.42683,0.5205,0.32341,1.388,1.20381,1.50421,0.00128753,0.00128753,0.00128753
7,12173.1,1.32793,1.2514,1.44369,0.62992,0.43333,0.33502,0.20648,1.36516,1.4227,1.46848,0.00125923,0.00125923,0.00125923
8,13495,1.29294,1.22293,1.41899,0.72859,0.62152,0.82161,0.43713,1.33855,1.08159,1.40715,0.00123094,0.00123094,0.00123094
9,14822.3,1.25369,1.12938,1.39569,0.72805,0.52849,0.65683,0.36089,1.30262,0.97871,1.3766,0.00120265,0.00120265,0.00120265
10,16076.5,1.24683,1.16152,1.39969,0.98773,0.01111,0.02772,0.01109,1.19525,1.00558,1.30648,0.00117435,0.00117435,0.00117435
11,17490.7,1.2154,1.05567,1.34446,0.80104,0.82767,0.89701,0.52283,1.47481,0.87482,1.42258,0.00114606,0.00114606,0.00114606
12,18879.2,1.2038,1.06514,1.36472,0.55202,0.8,0.77396,0.45342,1.25952,0.94821,1.28454,0.00111776,0.00111776,0.00111776
13,20125,1.19302,1.03239,1.32635,0.85557,0.6,0.71063,0.46833,1.13192,0.87653,1.23788,0.00108947,0.00108947,0.00108947
14,21383.3,1.16154,1.00878,1.3204,0.69567,0.93333,0.7949,0.48112,1.47651,0.89246,1.37862,0.00106118,0.00106118,0.00106118
15,22679.8,1.16148,0.99273,1.32451,0.63061,0.92439,0.68635,0.40723,1.21432,0.84956,1.2315,0.00103288,0.00103288,0.00103288
16,23926,1.13543,0.91413,1.30833,0.75176,0.88889,0.90466,0.6169,1.41276,0.78014,1.3257,0.00100459,0.00100459,0.00100459
17,25273.1,1.1091,0.90881,1.27947,0.72554,0.96342,0.93692,0.62416,1.16148,0.68336,1.25775,0.000976293,0.000976293,0.000976293
18,26683.8,1.11641,0.90287,1.29905,0.91995,0.89028,0.98794,0.66759,1.17704,0.74518,1.26888,0.000947999,0.000947999,0.000947999
19,28034.8,1.09633,0.88317,1.28897,0.94918,0.72896,0.90004,0.51743,1.21787,0.71959,1.2817,0.000919704,0.000919704,0.000919704
20,29602.2,1.06521,0.83582,1.24903,0.9104,0.68721,0.88059,0.47933,1.41199,0.80781,1.41967,0.00089141,0.00089141,0.00089141
21,30992.6,1.08191,0.87363,1.26585,0.59214,0.7032,0.68913,0.43603,1.23697,0.80913,1.25354,0.000863116,0.000863116,0.000863116
22,32580.1,1.05675,0.82583,1.24495,0.82909,0.98573,0.97279,0.59164,1.43751,0.69141,1.3579,0.000834822,0.000834822,0.000834822
23,34294.9,1.02701,0.83101,1.24686,0.69394,1,0.85263,0.60203,1.1166,0.66706,1.18524,0.000806528,0.000806528,0.000806528
24,76618.2,1.03169,0.80378,1.2365,0.31845,0.01111,0.0346,0.02768,1.03675,0.66187,1.15098,0.000778233,0.000778233,0.000778233
25,80156.9,1.0267,0.77822,1.21925,0.90256,0.87741,0.96935,0.67284,1.227,0.60705,1.23577,0.000749939,0.000749939,0.000749939
26,81814.9,0.98833,0.73882,1.21228,0.32198,0.01111,0.03843,0.02306,1.15581,0.64551,1.18827,0.000721645,0.000721645,0.000721645
27,83372.4,0.97623,0.71254,1.19928,0.89823,0.84059,0.9347,0.68652,1.04754,0.62786,1.22074,0.000693351,0.000693351,0.000693351
28,84853.9,0.95894,0.71764,1.18689,0.67255,0.98318,0.84199,0.63283,1.05379,0.63559,1.14816,0.000665057,0.000665057,0.000665057
29,86314.8,0.96241,0.70452,1.20333,0.98962,0.02222,0.04768,0.03338,1.10054,0.64434,1.18647,0.000636762,0.000636762,0.000636762
30,87694.6,0.94425,0.70323,1.17989,0.83203,0.97057,0.99468,0.73474,1.12566,0.54656,1.1568,0.000608468,0.000608468,0.000608468
31,89077.3,0.91257,0.68529,1.14666,0.32177,0.01111,0.09194,0.07355,1.06543,0.52448,1.14357,0.000580174,0.000580174,0.000580174
32,90367.8,0.92122,0.68814,1.17553,0.69573,1,0.84674,0.64266,1.06945,0.56848,1.12693,0.00055188,0.00055188,0.00055188
33,91680.9,0.86671,0.64932,1.14476,0.83525,0.85733,0.83837,0.61649,1.06533,0.63235,1.16754,0.000523586,0.000523586,0.000523586
34,92917,0.90403,0.66822,1.16747,0.79516,0.97606,0.92781,0.73862,0.99256,0.53911,1.1175,0.000495291,0.000495291,0.000495291
35,94550.3,0.87616,0.6315,1.13492,0.78339,1,0.99468,0.77105,0.97675,0.5367,1.12298,0.000466997,0.000466997,0.000466997
36,95802.6,0.84418,0.60585,1.11547,0.86621,0.98088,0.96685,0.76855,1.02271,0.50365,1.10006,0.000438703,0.000438703,0.000438703
37,97215.1,0.84665,0.61149,1.12352,0.32238,0.01111,0.09194,0.05517,1.07893,0.52337,1.14502,0.000410409,0.000410409,0.000410409
38,98386.6,0.82713,0.59061,1.1281,0.80546,0.82222,0.90322,0.73791,0.92032,0.57433,1.09163,0.000382115,0.000382115,0.000382115
39,99489.2,0.84946,0.57957,1.12188,0.91625,0.99133,0.995,0.76834,1.02374,0.51027,1.15544,0.00035382,0.00035382,0.00035382
40,100680,0.81567,0.57678,1.10976,0.90462,0.93333,0.94845,0.73613,0.9796,0.49136,1.12052,0.000325526,0.000325526,0.000325526
41,102131,0.75544,0.45473,1.07504,0.81503,0.91312,0.88231,0.61433,1.00386,0.57735,1.14468,0.000297232,0.000297232,0.000297232
42,103239,0.72582,0.43304,1.06251,0.8385,0.91708,0.87938,0.63475,1.03237,0.6312,1.17324,0.000268938,0.000268938,0.000268938
43,104356,0.70208,0.4101,1.04526,0.87403,0.96661,0.96257,0.66504,1.06401,0.5552,1.213,0.000240644,0.000240644,0.000240644
44,105661,0.67783,0.39191,1.01628,0.78806,0.98997,0.95368,0.67275,1.06218,0.53377,1.17968,0.000212349,0.000212349,0.000212349
45,106932,0.6662,0.38447,1.01476,0.84555,0.93333,0.89033,0.65379,1.02393,0.53277,1.1834,0.000184055,0.000184055,0.000184055
46,108856,0.6423,0.37539,1.00128,0.33333,0.01111,0.17222,0.12055,1.04191,0.51829,1.17359,0.000155761,0.000155761,0.000155761
47,110507,0.62953,0.36129,0.99671,0.33333,0.01111,0.17222,0.13777,1.06708,0.54695,1.18346,0.000127467,0.000127467,0.000127467
48,112067,0.61899,0.35472,0.98819,0.33333,0.01111,0.17222,0.13777,1.04239,0.53217,1.18015,9.91726e-05,9.91726e-05,9.91726e-05
49,113688,0.61214,0.35306,0.9857,0.8187,0.95404,0.95574,0.67765,1.04805,0.51612,1.18984,7.08784e-05,7.08784e-05,7.08784e-05
50,115278,0.59727,0.34096,0.97744,0.82856,0.94675,0.95574,0.67593,1.04214,0.52173,1.18593,4.25842e-05,4.25842e-05,4.25842e-05
