epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3515.5,0,43.088,0,0,0,0,0,0,1.54226,0,0.000472725,0.000472725,0.000472725
2,6409.05,0,0.13872,0,0,0,0,0,0,3.97705,0,0.000930267,0.000930267,0.000930267
3,9057.48,0,0,0,0,0,0,0,0,0,0,0.00136895,0.00136895,0.00136895
4,11632.4,0,0,0,0,0,0,0,0,0,0,0.00134412,0.00134412,0.00134412
5,14231.6,0,0,0,0,0,0,0,0,1e-05,0,0.00131582,0.00131582,0.00131582
6,26232.3,0,0,0,0,0,0,0,0,3e-05,0,0.00128753,0.00128753,0.00128753
7,29433.7,0,0,0,0,0,0,0,0,0,0,0.00125923,0.00125923,0.00125923
8,31890.7,0,0,0,0,0,0,0,0,0,0,0.00123094,0.00123094,0.00123094
9,34411,0,0,0,0,0,0,0,0,1e-05,0,0.00120265,0.00120265,0.00120265
10,36898.7,0,0,0,0,0,0,0,0,0,0,0.00117435,0.00117435,0.00117435
11,39890.9,0,0,0,0,0,0,0,0,1e-05,0,0.00114606,0.00114606,0.00114606
12,43379.2,0,0,0,0,0,0,0,0,0,0,0.00111776,0.00111776,0.00111776
13,46489.5,0,0,0,0,0,0,0,0,0,0,0.00108947,0.00108947,0.00108947
14,49739.9,0,0,0,0,0,0,0,0,0,0,0.00106118,0.00106118,0.00106118
15,52900.1,0,0,0,0,0,0,0,0,0,0,0.00103288,0.00103288,0.00103288
16,56333.1,0,0,0,0,0,0,0,0,0,0,0.00100459,0.00100459,0.00100459
17,66425.8,0,0,0,0,0,0,0,0,0,0,0.000976293,0.000976293,0.000976293
18,69883.3,0,0,0,0,0,0,0,0,0,0,0.000947999,0.000947999,0.000947999
19,73306.1,0,0,0,0,0,0,0,0,0,0,0.000919704,0.000919704,0.000919704
20,76377,0,0,0,0,0,0,0,0,0.00257,0,0.00089141,0.00089141,0.00089141
21,79629.1,0,0,0,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
22,82780.9,0,0,0,0,0,0,0,0,0,0,0.000834822,0.000834822,0.000834822
23,93358.3,0,0,0,0,0,0,0,0,0,0,0.000806528,0.000806528,0.000806528
24,96379.8,0,0,0,0,0,0,0,0,0,0,0.000778233,0.000778233,0.000778233
25,99815.5,0,0,0,0,0,0,0,0,0,0,0.000749939,0.000749939,0.000749939
26,105429,0,0,0,0,0,0,0,0,0,0,0.000721645,0.000721645,0.000721645
27,109566,0,0,0,0,0,0,0,0,0,0,0.000693351,0.000693351,0.000693351
28,112597,0,0,0,0,0,0,0,0,0,0,0.000665057,0.000665057,0.000665057
29,115563,0,0,0,0,0,0,0,0,0,0,0.000636762,0.000636762,0.000636762
30,118471,0,0,0,0,0,0,0,0,0,0,0.000608468,0.000608468,0.000608468
31,121103,0,0,0,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
32,123721,0,0,0,0,0,0,0,0,0,0,0.00055188,0.00055188,0.00055188
33,126463,0,0,0,0,0,0,0,0,0,0,0.000523586,0.000523586,0.000523586
34,129538,0,0,0,0,0,0,0,0,0,0,0.000495291,0.000495291,0.000495291
35,132577,0,0,0,0,0,0,0,0,0.00116,0,0.000466997,0.000466997,0.000466997
36,144818,0,0,0,0,0,0,0,0,0,0,0.000438703,0.000438703,0.000438703
37,148124,0,0,0,0,0,0,0,0,0,0,0.000410409,0.000410409,0.000410409
38,159220,0,0,0,0,0,0,0,0,0,0,0.000382115,0.000382115,0.000382115
39,162259,0,0,0,0,0,0,0,0,0,0,0.00035382,0.00035382,0.00035382
40,164817,0,0,0,0,0,0,0,0,0,0,0.000325526,0.000325526,0.000325526
41,167274,0,0,0,0,0,0,0,0,7e-05,0,0.000297232,0.000297232,0.000297232
42,169774,0,0,0,0,0,0,0,0,0,0,0.000268938,0.000268938,0.000268938
43,173132,0,0,0,0,0,0,0,0,0.00043,0,0.000240644,0.000240644,0.000240644
44,176731,0,0,0,0,0,0,0,0,0.00011,0,0.000212349,0.000212349,0.000212349
